OSD.flyTime [s],HOME.distance [ft],OSD.height [ft],OSD.longitude,OSD.latitude,OSD.altitude [ft]
926.1,16593.3,915.6,74.7442252586994,26.4318083050024,3160
926.3,16583.8,915.6,74.7441998259035,26.4318215601506,3160
926.5,16574.2,915.6,74.7441737269171,26.4318351705531,3160
926.7,16564.6,915.6,74.7441476769154,26.4318487721838,3160
926.9,16554.9,915.6,74.7441214995538,26.4318623968403,3160
927.1,16545.0,915.6,74.744094744174,26.4318763515323,3160
927.3,16535.6,915.6,74.7440693456673,26.4318896022947,3160
927.5,16526.0,915.6,74.7440432907671,26.4319031929608,3160
927.7,16516.3,915.6,74.7440172505623,26.4319167638905,3160
927.9,16506.7,915.6,74.7439912201544,26.431930343592,3160
928.1,16497.1,915.6,74.743965194645,26.4319439254864,3160
928.3,16487.5,915.6,74.7439391544402,26.4319574975126,3160
928.5,16477.6,915.6,74.7439124529435,26.431971426986,3160
928.7,16468.2,915.6,74.7438870985228,26.4319846810377,3160
928.9,16458.6,915.6,74.7438610730134,26.4319982464852,3160
929.1,16449.0,915.6,74.7438350328086,26.4320118130291,3160
929.3,16439.1,915.6,74.7438083362104,26.4320257238625,3160
929.5,16429.7,915.6,74.7437829817897,26.4320389537921,3160
929.7,16420.1,915.6,74.7437569611788,26.4320525104679,3160
929.9,16410.5,915.6,74.7437309258724,26.4320660550825,3160
930.1,16400.9,915.6,74.7437050473167,26.4320795481633,3160
930.3,16391.3,915.6,74.7436791883549,26.4320930269901,3160
930.5,16381.6,915.6,74.7436527023903,26.4321068698429,3160
930.7,16372.2,915.6,74.7436274753296,26.4321200317917,3160
930.9,16362.6,915.6,74.7436015722817,26.4321335742134,3160
931.1,16353.1,915.6,74.7435756496399,26.4321471407573,3160
931.3,16343.5,915.6,74.7435497269981,26.4321607456774,3160
931.5,16333.8,916.0,74.7435235839256,26.43217433744,3160
931.7,16323.9,916.0,74.7434967354752,26.4321881484953,3160
931.9,16314.5,916.0,74.7434710577563,26.432200967251,3160
932.1,16304.8,916.0,74.7434445619949,26.432213989949,3160
932.3,16295.1,916.0,74.7434180858272,26.4322269490521,3160
932.5,16285.4,916.0,74.7433916292535,26.4322398390779,3160
932.7,16275.5,916.0,74.7433645015909,26.4322530240525,3160
932.9,16265.8,916.0,74.7433380597125,26.4322659085961,3160
933.1,16256.4,915.6,74.7433122889229,26.4322785058661,3160
933.3,16246.7,915.6,74.7432858470445,26.4322914671622,3160
933.5,16237.1,915.6,74.743259414963,26.4323044690273,3160
933.7,16227.1,915.6,74.7432323509804,26.4323177987351,3160
933.9,16217.5,915.6,74.7432061197357,26.4323308159507,3160
934.1,16208.1,915.6,74.7431804763061,26.4323434801051,3160
934.3,16198.5,915.6,74.7431540785138,26.4323564984172,3160
934.5,16188.8,915.6,74.7431276611277,26.432369511247,3160
934.7,16179.1,915.6,74.7431012486401,26.4323825218839,3160
934.9,16169.2,915.6,74.7430742581343,26.432395854881,3160
935.1,16159.9,915.6,74.7430487959476,26.4324085234212,3160
935.3,16150.3,915.6,74.7430225842968,26.4324215263829,3160
935.5,16140.7,915.6,74.7429963432552,26.4324345326339,3160
935.7,16130.8,915.6,74.742969401734,26.4324478524735,3160
935.9,16121.2,915.6,74.7429431166063,26.4324608609174,3160
936.1,16111.8,915.6,74.742917487872,26.4324735130107,3160
936.3,16102.1,915.6,74.742891114572,26.4324865181652,3160
936.5,16092.4,915.6,74.7428644130753,26.4324995682748,3160
936.7,16082.4,915.6,74.7428371874436,26.4325129582881,3160
936.9,16072.7,915.6,74.7428107210729,26.4325260051082,3160
937.1,16063.3,915.6,74.7427851168309,26.4325386889989,3160
937.3,16053.7,915.6,74.7427589002815,26.432551693057,3160
937.5,16044.1,915.6,74.7427326592399,26.4325647080797,3160
937.7,16034.5,915.6,74.7427063986045,26.4325777198131,3160
937.9,16024.8,915.6,74.7426801036799,26.4325907556686,3160
938.1,16014.9,915.6,74.7426529319312,26.4326040941481,3160
938.3,16005.4,915.6,74.7426270876647,26.4326168295726,3160
938.5,15995.7,915.6,74.7426005968017,26.4326298895503,3160
938.7,15986.1,915.6,74.7425741892125,26.4326429473351,3160
938.9,15976.4,915.6,74.7425479285771,26.4326559886729,3160
939.1,15966.8,915.6,74.7425216630432,26.4326689850558,3160
939.3,15957.2,915.6,74.7424954024078,26.4326819803422,3160
939.5,15947.6,915.6,74.7424691368739,26.4326950019437,3160
939.7,15937.9,915.6,74.7424428370508,26.4327080191593,3160
939.9,15928.3,915.6,74.7424165323292,26.4327210308926,3160
940.1,15918.4,915.6,74.7423895075343,26.4327343726615,3160
940.3,15909.0,915.6,74.7423637367447,26.4327470302371,3160
940.5,15899.3,915.6,74.7423371430141,26.4327600704785,3160
940.7,15889.3,915.6,74.7423099614685,26.4327734199226,3160
940.9,15879.6,915.6,74.7422834999962,26.4327864239807,3160
941.1,15870.2,915.6,74.7422577292066,26.4327991308971,3160
941.3,15860.5,915.6,74.7422312873282,26.4328121667526,3160
